6 BEJAIA,72 954,"44,3
130 917","79,4
30 290","18,4",3 587,"2,2
164 794","0,4"
7 BISKRA,51 160,"3,1
185 463","11,2
1 399 746","84,7",67 532,"4,1
1 652 741","3,8"
8 BECHAR,14 975,"1,1
35 072","2,5
1 319 192","92,6",69 834,"4,9
1 424 098","3,2"
9 BLIDA,29 620,"45,7
54 303","83,8
8 860","13,7",1 660,"2,6
64 823","0,1"
10 BOUIRA,43 515,"14,8
189 960","64,7
73 895","25,2",29 689,"293 544
10,1","0,7"
11 TAMANRASSET,7 803,"0,9
11 262","1,3
816 100","92,6",54 103,"6,1
881 465","2,0"
12 TEBESSA,12 821,"1,6
312 175","38,1
434 088","53,0",72 094,"8,8
818 357","1,9"
13 TLEMCEN,35 573,"6,6
350 285","65,2
149 036","27,7",37 953,"6810
7,1
537 274","1,2"
14 TIARET,13 166,"1,2
688 725","62,1
420 606","37,9",0,"0,0
1 109 331","2,5"
15 TIZI-OUZOU,48 714,"33,3
98 842","67,7
25 370","17,4",21 859,"15,0
146 072","0,3"
16 ALGER,11 061,"34,0
28 870","88,8
1471","4,5",2 185,"6,7
32 526
60","0,1"
17 DJELFA,19 014,"0,8
387 052","15,5
2 114 041","84,5",0,"0,0
2 501 093","5,7"
18 JIJEL,18 578,"18,9
44 967
∞∞","45,7
38 811","39,5",14 511,98 289,"0,2"
19 SETIF,37 077,"8,1
365 112","53 650
79,4","11,7",41 084,"8,9
459 847","1,0"
20 SAIDA,7 772,"308 206
1,5","60,3
159 664","31,2",43 479,"8,5
511 349","1,2"
21 SKIKDA,21 908,"11,4
131 829","68,3
42 977","22,3",18 217,"193 023
889540
9,4","0,4"
22 S.B.ABBES,18 264,"4,7
363 193","94,0
3 715","1,0",19 644,"5,1
386 552","0,9"
23 ANNABA,2 607,"47 449
4,5","82,1
7 585","13,1",2 786,"4,8
57 820","0,1"
24 GUELMA,13 040,"187 338
4,9","50 875
70,8","19,2",26 405,"264 618
10,0","0,6"
25 CONSTANTINE,1 684,"1,0
125 010","71,1
50 935","28,9",0,"0,0
175 945","0,4"
26 MEDEA,20 931,"2,8
339 709","46,2
291 274","39,6",104 054,"14,2
735 037
45","1,7"
27 MOSTAGANEM,22 020,"15,2
132 268","91,4
5 110","3,5",7 400,"5,1
144 778","0,3"
28 M'SILA,17 808,"1,4
277 592","1 019 243
21,4","78,6",0,"1 296 835
0,0","2,9"
29 MASCARA,25 540,"312 786
5,9","72,0
104 292","24,0",17 054,"434 132
3,9","1,0"
30 OUARGLA,23 352,"0,4
54 579","1,0
4 750 000","83,5",884 050,"15,5
5 688 629","12,9"
31 ORAN,10 520,"86 757
11,1","91,3
1 823","1,9",6 479,"6,8
95 058","0,2"
32 EL-BAYADH,2 940,"0,1
77 056","1,3
5 688 141","98,7",550,"0,0
5 765 747","13,1"
33 ILLIZI,1 629,"8,0
2725","13,4
0","0,0",17 650,"86,6
20 375","0,0"
34 B.B.ARRERIDJ,30 556,"12,4
186 600","48 598
75,9","19,8",10 556,"245 754
4,3","0,6"
35 BOUMERDES,13 490,"13,8
62 956","64,5
10 741","11,0",23 954,"24,5
97 651","0,2"
36 EL-TARF,7 976,"9,5
74 173","88,3
8518","10,1",1 340,"1,6
84 031","0,2"
37 TINDOUF,627,"0,0
872","0,0
6 000 000","100,0",1 628,"0,0
6 002 500","13,7"
38 TISSEMSILT,19 330,"10,2
145 456
ÖN","76,7
22 297","11,8",21 996,"11,6
189 749","0,4"
39 EL-OUED,41 574,"2,4
96 476","5,5
1 410 000","80,1",253 400,"1 759 876
14,4","4,0"
40 KHENCHELA,13 991,"257 426
1,8","33,2
439 430","56,7",77 718,"10,0
774 574","1,8"
41 SOUK-AHRAS,15 474,"5,0
253 607","81,4
30 977","9,9",26 909,"8,6
311 493","0,7"
42 TIPAZA,14 516,"20,7
61 800","88,3
8 157","11,7",0,"0,0
69 957","0,2"
43 MILA,12 160,"4,4
237 558","86,1
21 956","8,0",16 444,"6,0
275 958","0,6"
44 AIN-DEFLA,16 742,"7,1
181 676","77,1
37 972","16,1",15 963,"6,8
235 611","0,5"
45 NAAMA,2 901,"0,1
28 283","2 175 117
1,3","98,7",60,"0,0
2 203 460","5,0"
